,Вопрос,Ответ 1,Ответ 2,Ответ 3,Ответ 4
35,В честь какого растения область Фриули-Венеция-Джулия в Италии ежегодно проводит трёхмесячный фестиваль?,спаржа,лук,фасоль,артишок
36,"Как ""в народе"" называют химическое соединение - тринитротолуол?",Тротил,Пластид,Гексаген,Динамит
37,"У кого из ""вампиров"" кровь пьют только самки?",Комары,Летучие мыши,Пиявки,Клещи
38,В каком российском городе к его 300-летию был открыт памятник Зайцу?,Санкт-Петербург,Москва,Воронеж,Тула
39,Для чего зайцу его большие уши?,"Они как рупоры, зайцу слышны даже самые тихие шорохи",Для красоты,Обмахиваться в жару,Для устрашения врагов-хищников
40,Что обычно охотники замечают за зайцем?,Он барабанит,Он трубит,Он бренчит,Он напевает
41,Что при травле зайца кричали охотники?,«Ату!»,«Агу!»,«А-та-та!»,«Ура!»
42,Какого зайца НЕ бывает?,Чувак,Тумак,Русак,Беляк
43,Кто такой агути?,Горбатый заяц,Сутулый заяц,Лысый заяц,Хромой заяц
44,Заячьей картошкой в народе называют:,Гриб дождевик,Морковь,Капусту,Кору деревьев
45,"В русских сказках лисичка-сестричка, коза-дереза, а зайчик-... Кто?",Побегайчик,Попугайчик,Петляйчик,Обгрызайчик
46,Какая российская автономия полностью окружена Краснодарским краем?,Адыгея,Хакасия,Индушетия,Удмуртия
47,"Где жил старик со своею старухой из сказки А.С. Пушкина ""Сказка о рыбаке и рыбке""?",в землянке,в избушке,в лачужке,в шалаше
48,"Какой рыболовной снастью ловил рыбу старик из сказки А.С. Пушкина ""Сказка о рыбаке и рыбке""?",Невод,Удочкой,Бреднем,Сачком
49,"За какую плату работал Балда у попа в сказке А.С. Пушкина ""Сказка о попе и работнике его Балде""?",Три щелчка по лбу,Три подзатыльника,Три поцелуя,Три рубля
50,"Сколько лет рыбачил старик из сказки А.С.Пушкина ""Сказка о рыбаке и рыбке""?",33,43,23,53
51,"Какую позицию на поле называют ""голкипер""?",Вратарь,Защитник,Полузащитник,Нападающий
52,Официальный язык государства Израиль?,Иврит,Фарси,Русский,Арабский
53,Как называется детеныш норки?,Щенок,Котенок,Белек,Норик
54,В артериях кровь движется...?,От сердца к органам,Сверху вниз,От органов к сердцу,Снизу вверх
55,От какого дерева появляются желуди?,Дуб,Каштан,Ясень,Клен
56,Где муха-цокотуха нашла денежку?,В поле,На лугу,В лесу,Во дворе
57,"Как звали крысу в сказке ""Золотой ключик""?",Шушара,Чучундра,Мымра,Шуршелла
58,Маленький мук из сказки был...?,Карликом,Ребенком,Лиллипутом,Подростком
59,"Чем промышлял Дуремар из сказки ""Золотой ключик""?",Пиявками,Лягушками,Бабочками,Стрекозами
60,Где сидит Доктор Айболит?,Под деревом,В Ленинграде,В домике,В больнице
61,Что такое обувница?,Предмет мебели для обуви,Воровка,Ложка для обуви,Работница обувной
62,Корюшка - это...,Рыбка,Птичка,Крючок,Растение
63,В какое море впадает Жёлтая река?,Жёлтое море,Ионическое море,Чёрное море,Каспийское море
64,Кто был главным врагом трех поросят?,Волк,Троллль,Мышь,Мясник
65,"Какая планета совершает 1 оборот вокруг солнца со скоростью 47,9 км/с",Меркурий,Марс,Юпитер,Сатурн
66,Какого города нет в Казахстане?,Самарканд,Шымкент,Караганда,Пвлодар
67,Кем по образованию был Антон Павлович Чехов?,Врач,Юрист,Учитель,Дипломат
68,Какой из театров Москвы носит имя А.П. Чехова?,МХАТ (МХТ),Большой театр,Малый театр,Театр «Сатирикон»
69,Как звали тонкого в рассказе А.П. Чехова «Толстый и тонкий»?,Порфирий,Акакий,Нафанаил,Ермолай
70,Кому из обитателей палаты №6 в одноименном рассказе А.П.Чехова разрешалось выходить из флигеля и больничного двора на улицу?,Моисейке,Громову,Сортировщику,Паралитику
71,Сестры с каким именем не было среди героинь чеховских «Трёх сестёр»?,Анна,Мария,Ирина,Ольга
72,Какой из этих литературных шедевров с четвероногими героями принадлежит перу А.П. Чехова?,«Каштанка»,«Белый пудель»,«Му-му»,«Белый Бим Чёрное Ухо»
73,Рассказ А.П.Чехова о несчастном ревматике.,Сапоги,Случай из практики,Хирургия,Припадок
74,В какой пьесе А.П. Чехова герой обращался к шкафу с эпитетом «многоуважаемый»?,«Вишневый сад»,«Три сестры»,«Чайка»,«Дядя Ваня»
75,Как звали младшего сына легендарного комдива Василия Ивановича Чапаева?,Аркадий,Иван,Евгений,Семён
76,Чему равна сумма чисел от 0 до 100 включительно?,5050,3525,1000,7550
77,Какой буквой физики обозначают ускорение свободного падения?,g,f,n,m
78,Кто из этих российских императоров и императриц правил раньше остальных?,Анна Иоановна,Елизавета Петровна,Петр III,Екатерина II
79,Как называл народ медную монету в 3 копейки после 40 годов XIX века?,Гривенный,Гривенник,Гривна,Грош
80,На борту какого линкора ВМФ США был подписан акт о капитуляции Японии во второй мировой войне?,"""Миссури""","""Висконсин""","""Айова""","""Нью-Джерси"""
81,"Из произведений какого писателя физики заимствовали слово ""кварк""?",Джеймс Джойс,Льюис Кэррол,Уильям Теккерей,Уильям Фолкнер
82,Какой европейский город раньше носил название Лютеция?,Париж,Тулуза,Милан,Лондон
83,"Сенатором какого штата был Ал Гор до того, как стал вице-президентом США?",Теннесси,Арканзас,Алабама,Миссисипи
84,В какие годы строился Колизей?,72-80,260-300,580-605,1085-1124
85,Изобретатель тачки?,Паскаль,Пифагор,Архимед,Эдисон
86,"Назовите греческого атлета, выигравшего марафон на Первой Олимпиаде нашего времени.",Луис,Костакис,Клиридис,Лумидис
87,Что из перечисленного является единственным колониальным владением Британии в Европе?,Гибралтар,Монако,Андорра,Люксембург
88,Облик какой женщины дошёл до наших дней благодаря скульптору Тутмесу?,Нефертити,Клеопатры,Далилы,Семирамды
89,"Кто из этих известных актеров и режиссеров, народных артистов СССР, стал министром культуры своей страны?",Богдан Ступка,Донатас Банионис,Вия Артмане,Роберт Стуруа
90,Кто из этих людей не был писателем ?  A: Во B: Ге C: Ле D: По ,Ге,Во,По,Ле
91,Кто стал самым молодым маршалом Советского Союза в истории СССР?  ,М.Н.Тухачевский,Г.К.Жуков,В.К.Блюхер,К.К.Рокоссовскийий
92,Какой из этих городов до воссоединения Германии был в составе ГДР?  A: Трир B: ВейБрауншвейгмар C:  D: Ганновер ,Веймар,Ганновер,Трир,Ганновер
93,Как назывался первый атомный ледокол СССР?,Ленин,Сталин,Свердлов,Киров
94,В какой стране на население наводили ужас тонтон-макуты?,Гаити,Куба,Парагвай,Гватемала
95,Как называлась столица государства ацтеков?,Теночтитлан,Монтесума,Кетцалькоатль,Мехико
96,Назовите административный центр (столицу) штата Флорида,Таллахасси,Майами,Джуно,Сакраменто
97,Какое российское флотское звание было у Витуса Беринга?,Капитан-командор,Контр-адмирал,Вице-адмирал,Капитан 1 ранга
98,Что означает количество пятнышек у божьей коровки?,Вид,Возраст,Пол,Дату рождения
99,Какая пара этих знаменитых писателей состоит из родных братьев?  ,Генрих и Томас Манны,Ирвин и Бернард Шоу,Ян и Пабло Неруды,Грэм и Александр Грины
100,Кому и в какой глаз впился князь Гвидон в образе комара?,Поварихе в правыйихе в правый,Ткачихе в левый,Поварихе в левый,ткачихе в правый
101,"Игроков какой команды называют ""армейцами""","""ЦСКА""",Динамо,Спартак,Локомотив
102,К какому семейству рыб принадлежит пескарь?,Карповые,Щуковые,Бычковые,Колюшковые
103,Кто из этих астрономов 1 ноября 1977 года открыл Хирон - малую планету Солнечной системы?,Чарльз Коуэл,Дирк Брауэр,Карл Сейферт,Жан Пикар
104,Кто из этих русских писателей прожил самую долгую жизнь?,И. А. Бунин,Л. Н. Толстой,М. М. Пришвин,П. П. Бажов
105,"При введении в России табели о рангах право на личное дворянство имели даже чиновники низшего, 14-го класса. А с какого класса это право сохранилось после 1845 г.?",9,8,10,11
106,Какой советский орден был инкрустирован бриллиантами?,Орден Победы,Орден Ленина,Орден Красного Знамени,Орден Красной Звезды
107,Под каким названием всему миру была известна разведслужба бывшей ГДР?,ШТАЗИ,МИ-6,АНБ,МОССАД
108,Сказочный Доктор?,Айболит,Окулист,Фельдшер,Медик
109,Куда отправляет Военкомат?,Служить,Отбывать,Отдыхать,Работать
110,Сколько циферблатов у курантов Спасской башни?,4,2,6,8
111,"Какая из этих пород уток является яичной, а не мясной? ",Индийские бегуны,Пекинские,Серые украинские,Черные белогрудые
112,В каком году советские войска одержали победу в Курской битве?,1943,1939,1942,1952
113,Кто изображен на правом плече Марадоны?,Че Гевара,Фидель Кастро,Ким Чен Ир,Пеле
114,Что не является знаком препинания?,Твердый знак,Запятая,Вопросительный знак,Восклицательный знак
115,Что не является кисломолочным продуктом?,Майонез,Сыр,Сметана,Творог
116,Сообразительность?,сметка,сметка,сметка,сметка
117,Какой из этих цветов не относится к тёплым?,Синий,Оранжевый,Коричневый,Красный
118,Цветы какого из этих растений не голубого цвета?,Лютик,Василек,Колокольчик,Незабудка
119,"Что означает слово ""бедуин"" на арбском языке?",Обитатели пустыни,Искатели воды,Путешественники,Корабли пустыни
120, Небольшие скалистые острова у невысоких берегов морей,шхерыы,риф,ледники,атоллы
121,Кто стал президентом российской федерации в 2012 году?,Путин,Медведев,Прохоров,Шабельский
122,BanTis,фирма,человек,прозвище,фамилия
123,"Какое воинское звание было у Хозе в опере ""Кармен""",Сержант,Майор,Лейтенант,Солдат
124,"Где Николай Чернышевский написал свой роман ""Что делать?""",В тюрме,Дома,В ссылке,На каторге
125,Ворот пиджака портной начинает отмерять с...,7 позвонка,1,3,4
126,Год основания группы Rammstein,1994,1995,2008,1973
127,Фамилия вокалиста Linkin Park,Беннинтгон,Бенингтон,Шинода,Дёрст
128,Сколько атомов кислорода содержится в молекуле озона?,3,4,2,6
129,Сколько горошин войдут в стакан ?,горшины не ходят,столько скоко влязят,ни сколько,смотря скоко горошины
130,Много людей сопровождают в последний путь своего родственника/знакомого. Как это называется?,похороны,упокоение,смерть,погребение
131,Какому коню в зубы не смотрят?,Дарёному,Жареному,Горем убитому,С кариесом
132,Доброкачественная опухоль надпочечников,феохромацитома,липохромацитома,саркома,аденомиома
133,Уровень материнской смертности определяется как число погибших матерей на:,100 000 живорожденных,100 000 беременностей,1000 живорожденных,1000 беременностей
134,В каком году родилась Селена Гомес?,В 1992 году.,В 1989 году.,В 1993 году.,В 1999 году.
135,На какой реке стоит город Саратов?,Волга,Кама,Дон,Обь
136,"За что тянул себя барон Мюнхгаузен, чтобы выбраться из тресины?",за волосы,за ухо,за язык,за голову
137,Сколько родных братьев и сестёр было у Рона?,6,5,4,3
138,В какой из этих столиц союзных республик раньше всего появилось метро?,Тбилиси,Ереван,Баку,Минск
139,В форме какого животного обычно делают копилки для монет?,Свинья,Корова,Броненосец,Свинья
140,На окошке сидит кошка всё как у кошки но не кошка.,кот,тигр,котёнок,дикая кошка
141,В каком образе бог Вишну не появлялся на земле?,Слона,Черепахи,Рыбы,Вепря
142,"Как заканчивается выражение ""Врет как...""?",Сивый мерин,Зеленый змий,Розовый слон,Серый заяц
143,Какое устройство применяли во время инквизиции?,испанский сапог,португальский башмак,японские гета,русский валенок
144,Какой из этих регионов - не на территории Италии?,Савойя,Тоскана,Ломбардия,Умбрия
145,Как по-научному называется питьевой спирт?,Этанол,Метанол,Политура,Микстура
146,Какая из этих премий впоследствии была переименована в Государственную премию СССР?,Сталинская,Ломоносовская,Ленинская,Нобелевская
147,В какой области науки проявились выдающиеся способности Софьи Ковалевской?,Математика,Химия,Биология,Философия
148,Какую из этих опер написал Моцарт?,"""Свадьба Фигаро""","""Сицилийская вечерня""","""Сельская честь""","""Севильский цирюльник"""
149,"Какое из этих прозаических произведений, А.С.Пушкин написал от женского имени?","""Рославлев""","""Выстрел""","""Кирджали""","""Египетские ночи"""
150,Из какого меxа сделаны шапки королевскиx гвардейцев Великобритании?,Медвежий,Волчий,Овечий,Соболиный
151,"Назовите вслед за Н. В. Гоголем вторую беду России, кроме дорог ?",Дураки,Умники,Пьяницы,Олигархи
152,Как иначе называют гевею?,резиновое дерево,виниловое дерево,нейлоновое дерево,пластмассовое дерево
153,Что у моряков называется камбузом?,Кухня,Машинное отделение,Мостик капитана,Кладовая
154,Как звали знаменитого мореплавателя Кука?,Джеймс,Томас,Джон,Джозеф
155,Как звали прославленного английского флотоводца Нельсона?,Горацио,Грегори,Герберт,Георг
156,Чей бюст созерцает Аристотель на портрете Рембрандта?,Гомера,Сократа,Аякса,Геракла
157,"Какие цветы распускаются в парке ""Чаир""?",Розы,Астры,Хризантемы,Ромашки
158,Из какого злака получают манную крупу?,пшеница,рожь,ячмень,просо
159,Какая террористическая организация похитила и убила премьер-министра Италии Альдо Моро?,Красные бригады,Коза ностра,Черный сентябрь,Черные пантеры
160,"Футболист какого амплуа изобрёл «удар скорпиона», отбив мяч в прыжке пятками?",вратарь,полузащитник,защитник,нападающий
161,Как называется группа из пяти фигурок - официальный талисман Олимпийских игр в Пекине?,"""Дети удачи""","""Сыновья победы""","""Братья фортуны""","""Друзья спорта"""
162,Главный герой какого романа Ф.М. Достоевского мечтал стать Ротшильдом?,Подросток,Идиот,Бесы,Братья Карамазовы
163,Кто из этих великих российских архитекторов был ярким представителем стиля барокко?,Растрелли,Монферран,Баженов,Казаков
164,Какой из этих химических элементов был открыт в России?,Рутений,Родий,Тулий,Самарий
165,"Как называется надпись на лицевой или оборотной стороне монеты, медали?",Легенда,Гурт,Поясниловка,Номинал
166,Какое кодовое название было у первого термоядерного взрывного устройства?,Майк,Тринити,Малыш,Толстяк
167,Какой пистолет Остап Бендер обещал дать Кислярскому в романе «Двенадцать стульев»?,парабеллум,наган,маузер,браунинг
168,"Кто написал текст российского гимна «Боже, царя храни»?",Василий Жуковский,Гаврила Державин,Пётр Вяземский,Фёдор Тютчев
169,Кто  добился упразднения ордена тамплиеров в 1312 году?,Филлип IV,Филипп II Август,Филипп II Габсбург,Филлип III
170,"Какой чин имел Лукаш, у которого бравый солдат Швейк был денщиком?",Поручик,Подпоручик,Капитан,Фельдкурат
171,"Какая из этих команд собаке, означает ""смирно""?",Тубо!,Куш!,Апорт!,Фас!
172,"Сколько фишек надо поставить подряд в линию, чтобы одержать победу в рэндзю?",5,6,7,8
173,Какой крепёжный не имеет резьбы?,шплинт,болт,шуруп,гайка
174,На чём рисуют специалисты по латте-арт?,На кофейной пенке,На кофейной этикетке,На кофейной чашке,На кофейном дереве
175,Кому в пожизненное пользование была предоставлена скрипка работы Антонио Страдивари?,В. Спивакову,Е. Мравинскому,М. Ростроповичу,И. Брилю
176,Что несколько лет назад обнаружил в Мёртвом море израильский учёный Соломон Вассер?,грибы,кораллы,жемчуг,осколок метеорита
177,Какой стране принадлежат Шантарские острова?,Россия,Индонезия,Филиппины,Въетнам
178,Назовите имя и отчество морганатического супруга императрицы Елизаветы Петровны графа Разумовского,Алексей Григорьевич,Алексей Кириллович,Андрей Кириллович,Кирилл Григорьевич
179,"""Заморская провинция"" какой страны до самого последнего времени существовала на территории Китая?",Португалия,Испания,Нидерланды,Франция
180,Героя романа какого из этих писателей звали Ловеласом?,С. Ричардсон,Т. Готье,А. де Мюссе,Ж. Санд
181,Какая олимпийская дистанция плавания самая длинная?,1500 м,800 м,2000 м,1000 м
182,Какое животное изображено на гербе Челябинска,Верблюд,Лиса,Волк,Медведь
183,Какая из этих археологических культур относится к мезолиту?,Азильская,Хассунская,Халафская,Перигорская
184,Кто из великих художников Возрождения расписывал Сикстинскую капеллу Ватикана?,Микеланджело,Леонардо,Рафаэль,Тициан
185,Из скольких слогов традиционно состоит хайку?,17,7,21,100
186,Денежная единица Узбекистана,Сум,Сум,Сум,Сум
187,Ден.единица ЮАР,Рэнд,Рэнд,Рэнт,Рэнд
188,"Ден.единица(Норвегии,Швеции,Дании,Чехии,Эстонии в 2010 году)",Крона,Крона,Крона,Разменная монета эре
189,Валюта Таджикистана,Сомони,Сомони,Сомони,Сомони
190,"Как назывался первый пассажирский пароход, пересекший Атлантический океан без помощи парусов?",Сириус,Вега,Альдебаран,Альтаир
191,Как называется русский традиционный пирог?,Расстегай,Выпори,Отлупи,Забей
192,"История какого театра началась со спектакля ""Добрый человек из Сезуана""?",театр на Таганке,Ленком,"""Современник""","""Табакерка"""
193,"Назовите населенный пункт, куда Петр II сослал А. Д. Меньшикова",Березов,Тобольск,Торжок,Кемь
194,Какое произведение Моцарта было завершено другим композитором?,Реквием,"""Дон Жуан""","""Волшебная флейта""","""Свадьба Фигаро"""
195,"Их в России 19-го века, называли рыцарями зеленых полей",Шулеры,Шулеры,Шулеры,Шулеры
196,"Кто из этих должностных лиц, заведовал при дворе Екатерины II винными погребами?",Обер-Шенк,Обер-Гофмаршал,Обер-Гофмейстер,Обер-шталмейстер
197,Известная кулинарная передача со строгим ведущим на рен тв.,Адская кухня,Адская кухня,Адская кухня,Адская кухня
198,Какой актёр поменял своё настоящее имя Альберт на Олег?,Олег Борисов,Олег Анофриев,Олег Даль,Олег Анофриев
199,В какой стране зародилась игра кегли?,Германия,Голландия,Швейцария,Австрия
200,Что из этих сооружений стало названием романа М. С. Шагинян?,Гидроцентраль,Теплоцентраль,Газоцентраль,Электроцентраль
201,"Кто сыграл Мальволио в фильме ""Двенадцатая ночь""?",Меркурьев,Ильинский,Филиппов,Яншин
202,Какова масса ядра в соревнованиях женщин?,4 кг,5 кг,"3,5 кг","5,5 кг"
203,Какое вино необходимо для приготовления классического крюшона?,Белое столовое,Мадера,Портвейн,Красное столовое
204,Какому времени года соответствует 2-й месяц французского республиканского календаря брюмер?,Осень,Весна,Лето,Зима
205,С каким животным связана история основания города Ярославля?,Медведь,Скунс,Мышь,Белка
206,Какие московские пруды одно время назывались Пионерскими?,Патриаршие,Борисовкие,Сарлетские,Чистые
207,Сборная какой страны стала в 1991 году первым чемпионом мира по женскому футболу?,США,Бразилии,России,Польши
208,Какую оперу поставил в Мариинском театре Андрон Кончаловский?,"""Война и мир""","""Борис Годунов""","""Хованщина""","""Евгений Онегин"""
209,Какой математический символ ввёл в математику Лейбниц?,интеграл,логарифм,модуль,квадратный корень
210,"Сколько стран одновременно победили на конкурсе ""Евровидение"" в 1969 году?",Четыре,Две,Три,Пять
211,Кто такой речной сверчок?,птица,рыба,насекомое,рептилия
212,"Назовите фамилию режиссера фильма ""9 дней одного года"".",Ромм,Роом,Калатозов,Баталов
213,"Какое прозвище, ставшее фамилией, получил знаменитый шведский хоккеист Свен Юханссон?",Тумба,Комод,Сейф,Шкаф
214,Кто из этих художников написал знаменитый портрет Ф.И. Шаляпина в шубе?,Кустодиев,Бродский,Репин,Врубель
215,В какиx войскаx служил Лев Толстой?,Артиллерия,Флот,Пеxота,Кавалерия
216,На какой реке стоит Тверь?,Волга,Днепр,Урал,Тверь
217,Как по-другому называют койота?,Луговой волк,Пустынный волк,Тропический волк,Лесной волк
218,В каком клубе завершил свою карьеру легендарный хоккеист Уэйн Гретцки?,"""Нью-Йорк Рейнджерс""","""Монреаль Канадиенс""","""Филодельфия Флаерс","""Уолл-стрит Всет"""
219,"Какая книга в русском переводе впервые вышла под названием ""Не любо, не слушай, а врать не мешай""?","""Приключения Мюнхгаузена""","""Гаргантюа и Пантагрюэль""","""Путешествие Гулливера""","""Робинзон Крузо"""
220,Какую рыбу совершенно справедливо можно назвать макрелью?,скумбрию,ставриду,сёмгу,тунца
221,Какой из русских живописцев взял в качестве псевдонима своё детское прозвище?,В.Г.Перов,И.Е.Репин,В.И.Суриков,А.К.Саврасов
222,Как называется яркая звезда - альфа Южной Рыбы?,Фомальгаут,Ригель,Ахернар,Бетельгейзе
223,Кто основал 1250 лет назад во франкском государстве династию Каролингов?,Пипин Короткий,Карл Великий,Хлодвиг I,Карл Мартелл
224,Кого иногда называют спрутом?,осьминога,кашалота,медузу,каракатицу
225,Какой язык является государственным языком Эфиопии?,Амхарский,Тигре,Арабский,Суахили
226,В честь кого получил своё имя популярный салат «Цезарь»?,повара — создателя салата,птицы цесарки,Чезаре Борджиа,Юлия Цезаря
227,"Отдел пищеварительной системы, на стенкаx которого располагаются ворсинки?",Тонкая кишка,Пищевод,Прямая кишка,Желудок
228,Температура абсолютного нуля по Фаренгейту - это:,-457.87 градусов,-273.15 граду,-17.8 градусов,0 градусов
229,Под каким именем известен любителям советской поэзии Евгений Скурко?,Максим Танк,Фёдор Пушка,Семён Пулемёт,Егор Бронепоезд
230,Как называется третья нота в гамме в соль мажор?,Си,Фа,Ре,Ля
231,Какая порода собак является миниатюрной копией грейхаунда?,Левретка,Такса,Болонка,Чау-чау
232,"Что означает слово ""Баунти""?",Щедрость,Сладость,Кокос,Жадность
233,В каком веке Ватикан перестал издавать Индекс запрещённых книг?,20,17,18,19
234,В какой день ноября проводятся каждые четыре года выборы президента США?,В 1-й Вт после 1-го Пн,В любой по решению Сената,В 1-е воскресенье,За 20 дн. до дня Благодарения
235,Что в свободное время мастерил химик Д.И.Менделеев?,Чемоданы,Коврики,Табуретки,Игрушки
236,Какой российский политик родился в селе Бутка Свердловской области?,Борис Ельцин,Михаил Горбачёв,Сергей Шойгу,Владимир Путин
237,"Кому приходилось заниматься разделыванием под орех, что и породило известный неологизм?",столяру,повару,конюху,кузнецу
238,Какой народный промысел прославил тобольских мастеров?,резьба по кости,чугунное литьё,малахитовые шкатулки,пуховые платки
239,"Кто, по русским летописям, заселил европейскую часть нынешней России после потопа?",Иафет,Хам,Ной,Сим
240,Какой жанр голандской живописи 17 века предназначался для напоминания о быстротечности жизни и неизбежности смерти?,Ванитас,Готика,Бодегон,Бомбочады
241,Как по-научному называется выгорание взрывчатого вещества?,Дефлаграция,Диффамация,Эксплорация,Дефламмизация
242,"Что хакеры называют ""пагой""?",Web-страничку,Погоду,Игру,Пейджер
243,Какой римский император был отцом императора  Тита?,Веспасиан,Адриан,Домициан,Клавдий
244,Как раньше называлась игра в шахматы?,Чатуранга,Чачуранга,Матуранга,Пануранга
245,В какой пустыне в 1923 году были впервые обнаружены остатки гнезд динозавров с лежащими там окаменевшими яйцами?,Гоби,Ливийская,Калахари,Атакама
246,"Что такое ферменты, биологические катализаторы?",Белки,Кислоты,Жиры,Паразиты
247,На какой реке стоит город Прага?,Влтава,Тиса,Лаба,Одра
248,Как в 1987 году назывался город Набережные Челны?,Брежнев,Суслов,Андропов,Подгорный
249,"Известно, что некоторые буквы кириллицы имели и цифровое значение. Чему равнялась буква ""Ферт""?",500,300,400,600
250,Какой калибр у автоматической винтовки М16 производства США?,5.56 мм,7.56 мм,9-й калибр,113 дюйма
